"Refs","Value","Footprint","Qty"
"C1,C2,C7-C9,C14,C19,C22,C32","100nF","Capacitor_SMD:C_0805_2012Metric","9"
"C3,C6","510pF","Capacitor_SMD:C_1206_3216Metric","2"
"C4,C5","910pF","Capacitor_SMD:C_1206_3216Metric","2"
"C10","1uF 100V","Capacitor_SMD:C_1206_3216Metric","1"
"C11","100uF 63V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1"
"C12","220uF 25V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1"
"C13","10uF 25V","Capacitor_SMD:C_1206_3216Metric","1"
"C20","10nF","Capacitor_SMD:C_0805_2012Metric","1"
"C21","100pF","Capacitor_SMD:C_0805_2012Metric","1"
"C23","2.2uF","Capacitor_SMD:C_1206_3216Metric","1"
"C24,C25","22uF 63V","Capacitor_SMD:C_1210_3225Metric","2"
"C26,C27","1000uF 63V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","2"
"C28","10uF 63V","Capacitor_SMD:C_1210_3225Metric","1"
"C29,C30","22uF 25V","Capacitor_SMD:C_1210_3225Metric","2"
"C31","1uF","Capacitor_SMD:C_0805_2012Metric","1"
"C33,C34","330pF C0G 250V","Capacitor_SMD:C_1210_3225Metric","2"
"D1","SB560 (60V 5A)","Diode_SMD:D_SMC","1"
"D3","SS36 (60V)","Diode_SMD:D_SMA","1"
"D4","SB560","Diode_SMD:D_SMC","1"
"D6","SMBJ24A","Diode_SMD:D_SMB","1"
"D7","green PD-OK","LED_SMD:LED_0805_2012Metric","1"
"D8","amber VDD","LED_SMD:LED_0805_2012Metric","1"
"F1","6A","Fuse:Fuse_1812_4532Metric","1"
"FLG1-FLG9","PWR_FLAG","","9"
"J1","SMA in","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal","1"
"J2","SMA out","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal","1"
"J3","48V DC in","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","1"
"J4","USB-C PD 100W","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1"
"J5","force-en","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"L1,L3","1.51uH (19t T50-6)","Inductor_THT:L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A","2"
"L2","1.67uH (20t T50-6)","Inductor_THT:L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A","1"
"L4","RFC 1mH","Inductor_THT:L_Toroid_Vertical_L14.0mm_W6.3mm_P4.57mm_Pulse_A","1"
"L5","100uH","Inductor_SMD:L_12x12mm_H8mm","1"
"L6","15uH 12A","Inductor_SMD:L_12x12mm_H8mm","1"
"L7","2.2uH","Inductor_SMD:L_12x12mm_H4.5mm","1"
"L8","390nH","Inductor_SMD:L_1812_4532Metric","1"
"Q1","MRF101AN","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1"
"Q2","MRF101BN","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1"
"Q3","2N3904","Package_TO_SOT_THT:TO-92_Inline","1"
"Q4","2N3904 (heatsink)","Package_TO_SOT_THT:TO-92_Inline","1"
"Q6","100V NFET","Package_TO_SOT_SMD:TO-252-2","1"
"Q7","100V NFET sync","Package_TO_SOT_SMD:TO-252-2","1"
"R1,R2","10","Resistor_SMD:R_0805_2012Metric","2"
"R3,R5,R13,R18,R20,R31","1k","Resistor_SMD:R_0805_2012Metric","6"
"R4","4k7","Resistor_SMD:R_0805_2012Metric","1"
"R6,R7","330","Resistor_SMD:R_2512_6332Metric","2"
"R8-R10","pad TBD","Resistor_SMD:R_0805_2012Metric","3"
"R11","110","Resistor_SMD:R_0805_2012Metric","1"
"R12","8.87k","Resistor_SMD:R_0805_2012Metric","1"
"R14","47","Resistor_SMD:R_0805_2012Metric","1"
"R19,R26,R32","10k","Resistor_SMD:R_0805_2012Metric","3"
"R21,R22","100k","Resistor_SMD:R_0805_2012Metric","2"
"R23","13k","Resistor_SMD:R_0805_2012Metric","1"
"R24","40k2 (250kHz)","Resistor_SMD:R_0805_2012Metric","1"
"R25","49k9","Resistor_SMD:R_0805_2012Metric","1"
"R27","590k","Resistor_SMD:R_0805_2012Metric","1"
"R28","15k (50V)","Resistor_SMD:R_0805_2012Metric","1"
"R29","5m","Resistor_SMD:R_2512_6332Metric","1"
"R33","10k (FPWM)","Resistor_SMD:R_0805_2012Metric","1"
"R34,R35","100 3W","Resistor_SMD:R_2512_6332Metric","2"
"R36","6k8","Resistor_SMD:R_0805_2012Metric","1"
"R37","15k","Resistor_SMD:R_1206_3216Metric","1"
"RV1","10k bias adj","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1"
"T1","1:4 balun (BN-43-202)","linear_amp:Xfmr_Binocular_BN43-202_5pin","1"
"T2","4:1 (BN-43-3312)","linear_amp:Xfmr_Binocular_BN43-3312_5pin","1"
"U1","PGA-103+","linear_amp:PGA_103_MMIC","1"
"U2","LM2596HV-ADJ","Package_TO_SOT_THT:TO-220-5_Vertical","1"
"U3","CH224K","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm","1"
"U4","LM5122","Package_SO:HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm","1"
